,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
龙湾区,0.726381633,0.721543426,0.753039566,0.728987862,0.717086546,0.701303469,0.697723125,0.709898114,0.709184237,0.650927818,0.728344797,0.70534892
鹿城区,0.620662164,0.592147605,0.644306726,0.580623772,0.550632408,0.528825852,0.544839502,0.565875985,0.563623198,0.391130443,0.422182473,0.386727617
龙港市,0.353384772,0.371474523,0.401951999,0.397120003,0.420499522,0.392652937,0.375298437,0.358311457,0.390752188,0.345212808,0.329515816,0.277278401
苍南县,0.174382638,0.18029899,0.194481119,0.190436193,0.210348171,0.193244431,0.194091057,0.1762433,0.187351086,0.1590393,0.156389091,0.164463369
瓯海区,0.502000673,0.467288971,0.574963688,0.544259758,0.486134852,0.499343913,0.508989627,0.55334276,0.539849982,0.394010518,0.430174909,0.392200534
瑞安市,0.41951156,0.422906122,0.424430702,0.402121258,0.406506067,0.431667346,0.412837307,0.402695101,0.430972464,0.518576519,0.545342852,0.54953396
洞头县,0.32535264,0.319407835,0.332293072,0.316885715,0.323690662,0.339532771,0.33917024,0.297769657,0.311690382,0.349087931,0.378338345,0.407340944
泰顺县,0.115587064,0.114197982,0.126368864,0.124187238,0.121185888,0.116080305,0.10429468,0.092062868,0.095106192,0.072609564,0.069480051,0.079565197
永嘉县,0.134189854,0.13104519,0.153101248,0.142955503,0.138648165,0.142197666,0.13018194,0.140898589,0.142483923,0.111985898,0.112345301,0.12088453
文成县,0.170379994,0.171080432,0.20234863,0.184824087,0.203160858,0.198642651,0.180153264,0.162254801,0.170313981,0.122547619,0.123558338,0.130797695
平阳县,0.220193661,0.209816842,0.217141214,0.213597191,0.221699962,0.213311602,0.210978055,0.210844849,0.234571794,0.183145765,0.187311718,0.196576114
乐清市,0.274827744,0.292215059,0.317271895,0.296091351,0.278735652,0.289949025,0.269916085,0.286228804,0.305679949,0.213311931,0.206464669,0.201076792
