省市,省会,shenghui_mid,sf_Jd,sf_Wd,dili_mid,dili_Jd,dili_Wd,beizhu
北京,北京,"c(116.4666667,39.9)",116.4666667,39.9,"c(116.533982575088, 40.315106188478)",116.5339826,40.31510619,地理中心坐标
上海,上海,"c(121.4833333,31.23333333)",121.4833333,31.23333333,"c(121.540428873312, 31.2095383685209)",121.5404289,31.20953837,地理中心坐标
天津,天津,"c(117.1833333,39.15)",117.1833333,39.15,"c(117.458023010432, 39.4371653956601)",117.458023,39.4371654,地理中心坐标
重庆,重庆,"c(106.5333333,29.53333333)",106.5333333,29.53333333,"c(108.01001812709, 30.2218546606162)",108.0100181,30.22185466,地理中心坐标
黑龙江,哈尔滨,"c(126.6833333,45.75)",126.6833333,45.75,"c(127.893527270599, 47.9970969498844)",127.8935273,47.99709695,地理中心坐标
吉林,长春,"c(125.3166667,43.86666667)",125.3166667,43.86666667,"c(126.320389141051, 43.7944047371614)",126.3203891,43.79440474,地理中心坐标
辽宁,沈阳,"c(123.4,41.83333333)",123.4,41.83333333,"c(122.743364828602, 41.427633679966)",122.7433648,41.42763368,地理中心坐标
内蒙古,呼和浩特,"c(111.8,40.81666667)",111.8,40.81666667,"c(114.058881423766, 44.2194391897076)",114.0588814,43.21943919,地理中心坐标纬度-1
河北,石家庄,"c(114.4666667,38.03333333)",114.4666667,38.03333333,,115.4666667,39.03333333,省会坐标经度+1纬度+1
山西,太原,"c(112.5666667,37.86666667)",112.5666667,37.86666667,"c(112.425479766607, 37.6953486118982)",112.4254798,37.69534861,地理中心坐标
山东,济南,"c(117,36.63333333)",117,36.63333333,"c(118.281712436475, 36.4808315698521)",118.2817124,36.48083157,地理中心坐标
河南,郑州,"c(113.7,34.8)",113.7,34.8,"c(113.732611968596, 34.0262791911931)",113.732612,34.02627919,地理中心坐标
陕西,西安,"c(108.9,34.26666667)",108.9,34.26666667,"c(109.000236165247, 35.3344425983614)",109.0002362,35.3344426,地理中心坐标
甘肃,兰州,"c(103.8166667,36.05)",103.8166667,36.05,"c(100.730361465946, 38.0176991236257)",100.7303615,38.51769912,地理中心坐标纬度+0.5
宁夏,银川,"c(106.2666667,38.33333333)",106.2666667,38.33333333,"c(106.295906065515, 37.4065563460928)",106.2959061,37.40655635,地理中心坐标
青海,西宁,"c(101.75,36.63333333)",101.75,36.63333333,"c(96.1677035508218, 35.7983962533039)",96.16770355,35.79839625,地理中心坐标
新疆,乌鲁木齐,"c(87.6,43.8)",87.6,43.8,"c(85.3249856320736, 41.2501570887227)",85.32498563,41.25015709,地理中心坐标
安徽,合肥,"c(117.3,31.85)",117.3,31.85,"c(117.351643586328, 31.9537017702415)",117.3516436,31.95370177,地理中心坐标
江苏,南京,"c(118.8333333,32.03333333)",118.8333333,32.03333333,"c(119.582729973854, 33.1019082410552)",119.58273,33.10190824,地理中心坐标
浙江,杭州,"c(120.15,30.23333333)",120.15,30.23333333,"c(120.184224978466, 29.2972448333294)",120.184225,29.29724483,地理中心坐标
湖南,长沙,"c(113,28.18333333)",113,28.18333333,"c(111.842280603681, 27.7447628512016)",111.8422806,27.74476285,地理中心坐标
江西,南昌,"c(115.8666667,28.68333333)",115.8666667,28.68333333,"c(115.857549380971, 27.734680323998)",115.8575494,27.73468032,地理中心坐标
湖北,武汉,"c(114.35,30.61666667)",114.35,30.61666667,"c(112.405873792758, 31.1119538140425)",112.4058738,31.11195381,地理中心坐标
四川,成都,"c(104.0833333,30.65)",104.0833333,30.65,"c(102.820301877824, 30.7598119258279)",102.8203019,30.75981193,地理中心坐标
贵州,贵阳,"c(106.7,26.58333333)",106.7,26.58333333,"c(107.015315250832, 26.9522197194248)",107.0153153,26.95221972,地理中心坐标
福建,福州,"c(119.3,26.08333333)",119.3,26.08333333,"c(118.113118831087, 26.2094758350264)",118.1131188,26.20947584,地理中心坐标
台湾,台北,"c(121.5166667,25.05)",121.5166667,25.05,,121.0166667,24.05,省会坐标经度-0.5纬度-1
广东,广州,"c(113.25,23.13333333)",113.25,23.13333333,"c(113.542568068397, 23.4656883053524)",113.5425681,23.46568831,地理中心坐标
海南,海口,"c(110.3333333,20.03333333)",110.3333333,20.03333333,"c(109.877177580232, 19.3269620231367)",109.8771776,19.32696202,地理中心坐标
广西,南宁,"c(108.3333333,22.8)",108.3333333,22.8,"c(108.90840775646, 23.9644856706756)",108.9084078,23.96448567,地理中心坐标
云南,昆明,"c(102.6833333,25)",102.6833333,25,"c(101.619355216508, 25.1023431677425)",101.6193552,25.10234317,地理中心坐标
西藏,拉萨,"c(91.16666667,29.66666667)",91.16666667,29.66666667,"c(88.5701164584765, 31.6231104944092)",88.57011646,31.62311049,地理中心坐标
香港,香港,"c(114.1666667,22.3)",114.1666667,22.3,,114.1666667,22.3,省会坐标
澳门,澳门,"c(113.5,22.2)",113.5,22.2,,113.5,22.2,省会坐标
