SO-FNN,RMSE,12.26,24.37,31.06,34.24,35.32,36.62,37.06
,MAE,9.53,17.48,22.52,25.22,26.29,27.47,28.12
,MAPE,11.72,22.19,28.24,30.53,31.85,34.47,36.77
SO-RNN,RMSE,40.12,52.06,59.53,62.89,64.27,62.79,62.09
,MAE,37.12,43.41,47.92,50.8,52.26,50.01,48.4
,MAPE,42.99,44.71,47.5,50.14,51.93,49.51,47.56
SO-LSTM,RMSE,6.78,23.79,32.53,36.11,37.53,37.58,38.1
,MAE,4.71,16.86,22.99,25.55,26.55,26.74,27.46
,MAPE,6.11,21.72,29.02,30.62,31.54,31.86,33.54
SO-Bi-LSTM,RMSE,4.38,23.74,32.67,38.65,39.54,38.71,37.22
,MAE,3.09,16.51,22.71,26.72,27.5,27.36,26.98
,MAPE,3.91,20.41,27.13,30.82,31.89,32.36,32.33
SO-ENDC-LSTM,RMSE,13.11,27.49,35.23,40.78,42.1,42.72,42.76
,MAE,9.75,19.29,23.96,27.63,28.91,29.85,30.42
,MAPE,13.7,24.24,28.54,31.45,33.18,35.38,36.88
